Seed,Scheme,Approach,w1,b1,b2,wy,by,k_best,base_estimator,Missing_Percent,Accuracy,Balanced_Acc,F1,ROC_AUC,Imputation_score
0,MAR1,label_propagation,1.0,2.0,,,,,,82.67,0.8461538461538461,0.8823529411764706,0.8666666666666667,0.9019607843137255,"[0.5085679314565483, 0.5434516523867808, 0.5667074663402693, 0.5667074663402693, 0.5752753977968177, 0.5605875152998776, 0.6070991432068543, 0.6070991432068543, 0.6070991432068543, 0.6070991432068543, 0.6070991432068543, 0.6070991432068543, 0.6070991432068543, 0.6070991432068543, 0.6187270501835985, 0.6303549571603427, 0.6303549571603427, 0.6303549571603427, 0.6303549571603427, 0.6303549571603427, 0.6303549571603427, 0.6303549571603427, 0.6303549571603427, 0.6040391676866586, 0.6040391676866586, 0.6040391676866586, 0.6040391676866586, 0.6040391676866586, 0.6040391676866586, 0.6040391676866586, 0.6156670746634028, 0.6156670746634028, 0.6156670746634028, 0.6156670746634028, 0.6156670746634028, 0.6272949816401469, 0.6009791921664627, 0.6009791921664627, 0.6126070991432069, 0.6126070991432069, 0.5862913096695226, 0.5862913096695226, 0.5862913096695226, 0.609547123623011, 0.609547123623011, 0.609547123623011, 0.609547123623011, 0.609547123623011, 0.609547123623011, 0.609547123623011, 0.609547123623011, 0.609547123623011, 0.609547123623011, 0.609547123623011, 0.609547123623011, 0.6211750305997552, 0.6211750305997552, 0.6211750305997552, 0.6211750305997552, 0.6211750305997552, 0.6211750305997552, 0.6211750305997552, 0.6211750305997552, 0.6211750305997552, 0.6211750305997552, 0.6211750305997552, 0.6211750305997552]"
0,MAR1,naive,3.0,0.0,,,,,,49.33,0.8076923076923077,0.8006535947712419,0.8484848484848485,0.8954248366013071,[]
0,MAR1,self_training,3.0,0.0,,,,1.0,SVC,49.33,0.8076923076923077,0.8006535947712419,0.8484848484848485,0.9019607843137255,"[1.0, 1.0, 1.0, 0.9, 0.9166666666666667, 0.9285714285714286, 0.7916666666666667, 0.8174603174603174, 0.7922077922077921, 0.7747252747252746, 0.7952380952380952, 0.75, 0.7638888888888888, 0.775, 0.7380952380952381, 0.7463768115942029, 0.7166666666666667, 0.7230769230769231]"
0,MAR1,self_training,3.0,0.0,,,,1.0,LogisticRegression,49.33,0.7692307692307693,0.7973856209150327,0.8,0.8300653594771241,"[1.0, 0.8333333333333333, 0.875, 0.8333333333333333, 0.8571428571428572, 0.875, 0.8888888888888888, 0.8174603174603174, 0.8375, 0.8125, 0.7946428571428572, 0.78125, 0.7708333333333333, 0.7046783625730995, 0.6984126984126984, 0.7149758454106281, 0.7288888888888889, 0.7407407407407407]"
0,MAR1,self_training,3.0,0.0,,,,1.0,RandomForestClassifier,49.33,0.9615384615384616,0.9705882352941176,0.9696969696969697,0.9542483660130718,"[1.0, 1.0, 1.0, 1.0, 0.9166666666666667, 0.9285714285714286, 0.7916666666666667, 0.8174603174603174, 0.8376623376623377, 0.8541666666666667, 0.8660714285714286, 0.8222222222222222, 0.7875, 0.7944444444444444, 0.8, 0.8045454545454545, 0.8083333333333333, 0.8115384615384615]"
0,MAR1,self_training,3.0,0.0,,,,1.0,XGBClassifier,49.33,0.8076923076923077,0.8006535947712419,0.8484848484848485,0.8562091503267973,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.8333333333333334, 0.7916666666666667, 0.7666666666666666, 0.7922077922077921, 0.7747252747252746, 0.7946428571428572, 0.78125, 0.7973856209150327, 0.7865497076023391, 0.8, 0.7909090909090909, 0.8041666666666667, 0.8153846153846154]"
0,MAR1,label_propagation,3.0,0.0,,,,,,49.33,0.9230769230769231,0.9150326797385621,0.9411764705882353,0.9281045751633986,"[0.5240740740740741, 0.6351851851851852, 0.6722222222222223, 0.7092592592592593, 0.7462962962962962, 0.7833333333333333, 0.7833333333333333, 0.8203703703703704, 0.8203703703703704, 0.8203703703703704, 0.8388888888888889, 0.8388888888888889, 0.8388888888888889, 0.8574074074074074, 0.8074074074074074, 0.8074074074074074, 0.8074074074074074, 0.8074074074074074, 0.8074074074074074, 0.8074074074074074, 0.8074074074074074, 0.8074074074074074, 0.8074074074074074]"
0,MAR1,naive,3.0,2.0,,,,,,65.33,0.8076923076923077,0.8006535947712419,0.8484848484848485,0.8758169934640523,[]
0,MAR1,self_training,3.0,2.0,,,,1.0,SVC,65.33,0.8076923076923077,0.8006535947712419,0.8484848484848485,0.8888888888888888,"[1.0, 0.75, 0.8333333333333333, 0.875, 0.9, 0.8571428571428572, 0.7857142857142857, 0.8125, 0.8333333333333333, 0.8500000000000001, 0.8166666666666667, 0.7928571428571429, 0.8090909090909091, 0.8229166666666667, 0.8055555555555556, 0.7916666666666667, 0.803030303030303, 0.81438127090301, 0.823076923076923, 0.8304843304843305, 0.8035714285714286, 0.7804597701149425, 0.7604166666666667, 0.765625]"
0,MAR1,self_training,3.0,2.0,,,,1.0,LogisticRegression,65.33,0.8846153846153846,0.9117647058823529,0.9032258064516129,0.8888888888888888,"[1.0, 1.0, 0.875, 0.9, 0.8571428571428572, 0.875, 0.7916666666666667, 0.8174603174603174, 0.8375, 0.8535353535353536, 0.8666666666666667, 0.8428571428571429, 0.8545454545454545, 0.8645833333333333, 0.8733031674208145, 0.8562753036437247, 0.8424908424908425, 0.8506493506493507, 0.8579710144927537, 0.8466666666666667, 0.837037037037037, 0.8287356321839081, 0.821505376344086, 0.8]"
0,MAR1,self_training,3.0,2.0,,,,1.0,RandomForestClassifier,65.33,0.6538461538461539,0.6568627450980392,0.7096774193548387,0.7777777777777778,"[1.0, 1.0, 0.875, 0.9, 0.9166666666666667, 0.9285714285714286, 0.9375, 0.875, 0.8888888888888888, 0.9, 0.8666666666666667, 0.8776223776223776, 0.8869047619047619, 0.8645833333333333, 0.8733031674208145, 0.8562753036437247, 0.8642857142857143, 0.8506493506493507, 0.8392857142857143, 0.8296703296703296, 0.8214285714285714, 0.8287356321839081, 0.7875, 0.78125]"
0,MAR1,self_training,3.0,2.0,,,,1.0,XGBClassifier,65.33,0.7307692307692307,0.7679738562091503,0.7586206896551724,0.9150326797385622,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9545454545454546, 0.9583333333333333, 0.9615384615384616, 0.9333333333333333, 0.9117647058823529, 0.8947368421052632, 0.8562753036437247, 0.8642857142857143, 0.8506493506493507, 0.8579710144927537, 0.8466666666666667, 0.8555555555555556, 0.8459770114942529, 0.8208333333333333, 0.828125]"
