Seed,Scheme,Approach,w1,b1,w2,b2,wx,wy,by,k_best,base_estimator,Missing_Percent,Accuracy,Balanced_Acc,F1,ROC_AUC,Imputation_score
0,MAR2,self_training,,,1.0,0.0,,,,1.0,RandomForestClassifier,55.0,0.6190476190476191,0.6136363636363636,0.6666666666666666,0.6636363636363636,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96875, 0.9705882352941176]"
0,MAR2,self_training,,,1.0,0.0,,,,1.0,XGBClassifier,55.0,0.6190476190476191,0.6318181818181818,0.5,0.7636363636363637,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.9285714285714286, 0.9375, 0.9444444444444444, 0.95, 0.9545454545454546, 0.9583333333333333, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9, 0.9]"
0,MAR2,label_propagation,,,1.0,0.0,,,,,,55.0,0.7142857142857143,0.7227272727272727,0.6666666666666666,0.9090909090909092,"[0.49444444444444446, 0.5611111111111111, 0.5611111111111111, 0.5611111111111111, 0.5611111111111111, 0.5611111111111111, 0.5611111111111111, 0.5611111111111111, 0.5611111111111111, 0.5611111111111111, 0.5611111111111111, 0.5611111111111111, 0.5611111111111111, 0.5611111111111111, 0.5611111111111111, 0.5611111111111111, 0.5333333333333333, 0.5333333333333333, 0.5333333333333333, 0.5333333333333333, 0.5333333333333333, 0.5333333333333333, 0.5333333333333333, 0.5333333333333333, 0.5333333333333333, 0.5333333333333333, 0.5333333333333333, 0.5333333333333333, 0.5333333333333333, 0.5333333333333333, 0.5333333333333333, 0.5333333333333333]"
0,MAR2,naive,,,1.0,2.0,,,,,,55.0,0.7142857142857143,0.7227272727272727,0.6666666666666666,0.7272727272727273,[]
0,MAR2,self_training,,,1.0,2.0,,,,1.0,SVC,55.0,0.38095238095238093,0.38181818181818183,0.38095238095238093,0.5181818181818182,"[1.0, 0.5, 0.3333333333333333, 0.25, 0.29166666666666663, 0.24285714285714285, 0.2857142857142857, 0.25, 0.325, 0.33838383838383834, 0.40909090909090906, 0.38111888111888115, 0.34615384615384615, 0.3571428571428571, 0.3666666666666667, 0.4019607843137255]"
0,MAR2,self_training,,,1.0,2.0,,,,1.0,LogisticRegression,55.0,0.6666666666666666,0.6727272727272727,0.631578947368421,0.8,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9615384615384616, 0.9226190476190477, 0.8897435897435897, 0.8973214285714286, 0.903921568627451]"
0,MAR2,self_training,,,1.0,2.0,,,,1.0,RandomForestClassifier,55.0,0.7619047619047619,0.7636363636363637,0.7619047619047619,0.8363636363636364,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9705882352941176]"
0,MAR2,self_training,,,1.0,2.0,,,,1.0,XGBClassifier,55.0,0.6190476190476191,0.6318181818181818,0.5,0.7636363636363637,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9444444444444444, 0.95, 0.9545454545454546, 0.9583333333333333, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9, 0.9]"
0,MAR2,label_propagation,,,1.0,2.0,,,,,,55.0,0.7142857142857143,0.7136363636363636,0.7272727272727273,0.8272727272727273,"[0.5277777777777778, 0.5944444444444444, 0.5944444444444444, 0.5944444444444444, 0.5944444444444444, 0.5944444444444444, 0.5944444444444444, 0.5944444444444444, 0.5944444444444444, 0.5944444444444444, 0.5944444444444444, 0.5944444444444444, 0.5944444444444444, 0.5944444444444444, 0.5944444444444444, 0.5944444444444444, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667]"
0,MAR2,naive,,,3.0,0.0,,,,,,55.0,0.7142857142857143,0.7227272727272727,0.6666666666666666,0.7272727272727273,[]
0,MAR2,self_training,,,3.0,0.0,,,,1.0,SVC,55.0,0.6190476190476191,0.6181818181818182,0.6363636363636364,0.6,"[1.0, 0.5, 0.3333333333333333, 0.375, 0.4583333333333333, 0.4857142857142857, 0.47916666666666663, 0.4920634920634921, 0.4875, 0.4949494949494949, 0.4916666666666667, 0.49650349650349646, 0.49404761904761907, 0.45833333333333337, 0.4570135746606335, 0.4642857142857143]"
0,MAR2,self_training,,,3.0,0.0,,,,1.0,LogisticRegression,55.0,0.6666666666666666,0.6727272727272727,0.631578947368421,0.8,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9615384615384616, 0.9226190476190477, 0.8897435897435897, 0.8973214285714286, 0.903921568627451]"
0,MAR2,self_training,,,3.0,0.0,,,,1.0,RandomForestClassifier,55.0,0.7142857142857143,0.7136363636363636,0.7272727272727273,0.7363636363636363,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9642857142857143, 0.9666666666666667, 0.9372549019607843]"
0,MAR2,self_training,,,3.0,0.0,,,,1.0,XGBClassifier,55.0,0.6190476190476191,0.6318181818181818,0.5,0.7636363636363637,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9444444444444444, 0.95, 0.9545454545454546, 0.9583333333333333, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9, 0.9]"
0,MAR2,label_propagation,,,3.0,0.0,,,,,,55.0,0.7142857142857143,0.7136363636363636,0.7272727272727273,0.8272727272727273,"[0.5277777777777778, 0.5944444444444444, 0.5944444444444444, 0.5944444444444444, 0.5944444444444444, 0.5944444444444444, 0.5944444444444444, 0.5944444444444444, 0.5944444444444444, 0.5944444444444444, 0.5944444444444444, 0.5944444444444444, 0.5944444444444444, 0.5944444444444444, 0.5944444444444444, 0.5944444444444444, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667]"
0,MAR2,naive,,,3.0,2.0,,,,,,56.67,0.7619047619047619,0.7681818181818182,0.7368421052631579,0.8727272727272727,[]
0,MAR2,self_training,,,3.0,2.0,,,,1.0,SVC,56.67,0.6190476190476191,0.6181818181818182,0.6363636363636364,0.7181818181818181,"[1.0, 0.8333333333333333, 0.5, 0.3666666666666667, 0.5, 0.41666666666666663, 0.3571428571428571, 0.36507936507936506, 0.325, 0.30000000000000004, 0.36363636363636365, 0.375, 0.38461538461538464, 0.39285714285714285, 0.4285714285714286, 0.43529411764705883, 0.4409722222222222]"
0,MAR2,self_training,,,3.0,2.0,,,,1.0,LogisticRegression,56.67,0.7619047619047619,0.7727272727272727,0.7058823529411765,0.8909090909090909,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9615384615384616, 0.8846153846153846, 0.8214285714285714, 0.8, 0.807843137254902, 0.7881944444444444]"
