Seed,Scheme,Approach,Missing_Percent,Accuracy,Balanced_Acc,F1,ROC_AUC
19,None,Oracle,0.0,0.9368836291913215,0.5145723684210526,0.058823529411764705,0.8811184210526316
19,MCAR_0.2,naive,20.13,0.9368836291913215,0.5145723684210526,0.058823529411764705,0.8816447368421052
19,MCAR_0.2,pseudo_labels,20.13,0.9368836291913215,0.5,0.0,0.8833552631578947
19,MCAR_0.2,iterative_pseudo_labels,20.13,0.9368836291913215,0.5,0.0,0.8833552631578947
19,MCAR_0.5,naive,52.37,0.9309664694280079,0.5405592105263157,0.14634146341463414,0.8605921052631579
19,MCAR_0.5,pseudo_labels,52.37,0.9368836291913215,0.5,0.0,0.851578947368421
19,MCAR_0.5,iterative_pseudo_labels,52.37,0.9368836291913215,0.5,0.0,0.851578947368421
19,MCAR_0.8,naive,81.25,0.9368836291913215,0.5291447368421053,0.1111111111111111,0.8906578947368421
19,MCAR_0.8,pseudo_labels,81.25,0.9368836291913215,0.5,0.0,0.8926315789473684
19,MCAR_0.8,iterative_pseudo_labels,81.25,0.9368836291913215,0.5,0.0,0.8926315789473684
19,MAR1,naive,24.67,0.9349112426035503,0.5135197368421053,0.05714285714285714,0.8739473684210527
19,MAR1,pseudo_labels,24.67,0.9368836291913215,0.5,0.0,0.8465789473684211
19,MAR1,iterative_pseudo_labels,24.67,0.9368836291913215,0.5,0.0,0.8465789473684211
19,MAR2,naive,25.86,0.9309664694280079,0.5114144736842106,0.05405405405405406,0.8808552631578946
19,MAR2,pseudo_labels,25.86,0.9368836291913215,0.5,0.0,0.8804605263157895
19,MAR2,iterative_pseudo_labels,25.86,0.9368836291913215,0.5,0.0,0.8804605263157895
19,MNAR,naive,27.11,0.9349112426035503,0.49894736842105264,0.0,0.8723026315789475
19,MNAR,pseudo_labels,27.11,0.9368836291913215,0.5,0.0,0.8692105263157895
19,MNAR,iterative_pseudo_labels,27.11,0.9368836291913215,0.5,0.0,0.8692105263157895
20,None,Oracle,0.0,0.9388560157790927,0.559342105263158,0.20512820512820512,0.8905263157894737
20,MCAR_0.2,naive,21.45,0.9428007889546351,0.590592105263158,0.2926829268292683,0.8896710526315789
20,MCAR_0.2,pseudo_labels,21.45,0.9388560157790927,0.5301973684210526,0.11428571428571428,0.8807236842105264
20,MCAR_0.2,iterative_pseudo_labels,21.45,0.9388560157790927,0.5301973684210526,0.11428571428571428,0.8807236842105264
20,MCAR_0.5,naive,49.87,0.9447731755424064,0.5770723684210526,0.2631578947368421,0.8910526315789473
20,MCAR_0.5,pseudo_labels,49.87,0.9388560157790927,0.515625,0.06060606060606061,0.8891447368421053
20,MCAR_0.5,iterative_pseudo_labels,49.87,0.9388560157790927,0.515625,0.06060606060606061,0.8891447368421053
20,MCAR_0.8,naive,81.05,0.9447731755424064,0.6645065789473684,0.44,0.8784868421052632
20,MCAR_0.8,pseudo_labels,81.05,0.9368836291913215,0.5,0.0,0.8580263157894736
20,MCAR_0.8,iterative_pseudo_labels,81.05,0.9368836291913215,0.5,0.0,0.8580263157894736
20,MAR1,naive,23.49,0.9428007889546351,0.590592105263158,0.2926829268292683,0.8904605263157894
20,MAR1,pseudo_labels,23.49,0.9368836291913215,0.543717105263158,0.15789473684210525,0.8853947368421053
20,MAR1,iterative_pseudo_labels,23.49,0.9368836291913215,0.543717105263158,0.15789473684210525,0.8853947368421053
20,MAR2,naive,25.59,0.9408284023668639,0.574967105263158,0.25,0.8855263157894736
20,MAR2,pseudo_labels,25.59,0.9408284023668639,0.53125,0.11764705882352941,0.8798684210526315
20,MAR2,iterative_pseudo_labels,25.59,0.9408284023668639,0.53125,0.11764705882352941,0.8798684210526315
20,MNAR,naive,26.51,0.9408284023668639,0.5458223684210526,0.16666666666666666,0.8882236842105263
20,MNAR,pseudo_labels,26.51,0.9408284023668639,0.53125,0.11764705882352941,0.8920394736842105
20,MNAR,iterative_pseudo_labels,26.51,0.9408284023668639,0.53125,0.11764705882352941,0.8920394736842105
21,None,Oracle,0.0,0.9388560157790927,0.5447697368421053,0.16216216216216217,0.8755921052631579
21,MCAR_0.2,naive,20.26,0.9368836291913215,0.5291447368421053,0.1111111111111111,0.8721052631578946
21,MCAR_0.2,pseudo_labels,20.26,0.9388560157790927,0.5447697368421053,0.16216216216216217,0.8705263157894736
21,MCAR_0.2,iterative_pseudo_labels,20.26,0.9388560157790927,0.5447697368421053,0.16216216216216217,0.8705263157894736
21,MCAR_0.5,naive,51.91,0.9388560157790927,0.5447697368421053,0.16216216216216217,0.8738157894736842
21,MCAR_0.5,pseudo_labels,51.91,0.9368836291913215,0.5145723684210526,0.058823529411764705,0.8699342105263158
21,MCAR_0.5,iterative_pseudo_labels,51.91,0.9368836291913215,0.5145723684210526,0.058823529411764705,0.8699342105263158
21,MCAR_0.8,naive,79.74,0.9447731755424064,0.6790789473684211,0.46153846153846156,0.8967763157894736
21,MCAR_0.8,pseudo_labels,79.74,0.9368836291913215,0.5,0.0,0.9014473684210527
21,MCAR_0.8,iterative_pseudo_labels,79.74,0.9368836291913215,0.5,0.0,0.9014473684210527
21,MAR1,naive,25.13,0.9368836291913215,0.5291447368421053,0.1111111111111111,0.8771710526315789
21,MAR1,pseudo_labels,25.13,0.9408284023668639,0.5603947368421053,0.21052631578947367,0.8857236842105263
21,MAR1,iterative_pseudo_labels,25.13,0.9408284023668639,0.5603947368421053,0.21052631578947367,0.8857236842105263
21,MAR2,naive,26.32,0.9408284023668639,0.5603947368421053,0.21052631578947367,0.8724342105263158
21,MAR2,pseudo_labels,26.32,0.9349112426035503,0.49894736842105264,0.0,0.8726315789473684
21,MAR2,iterative_pseudo_labels,26.32,0.9349112426035503,0.49894736842105264,0.0,0.8726315789473684
21,MNAR,naive,25.33,0.9368836291913215,0.5291447368421053,0.1111111111111111,0.87
21,MNAR,pseudo_labels,25.33,0.9349112426035503,0.49894736842105264,0.0,0.8697368421052631
21,MNAR,iterative_pseudo_labels,25.33,0.9349112426035503,0.49894736842105264,0.0,0.8697368421052631
22,None,Oracle,0.0,0.9388560157790927,0.5447697368421053,0.16216216216216217,0.8960526315789473
22,MCAR_0.2,naive,21.45,0.9408284023668639,0.5603947368421053,0.21052631578947367,0.8999342105263157
22,MCAR_0.2,pseudo_labels,21.45,0.9368836291913215,0.5291447368421053,0.1111111111111111,0.8921052631578947
22,MCAR_0.2,iterative_pseudo_labels,21.45,0.9368836291913215,0.5291447368421053,0.1111111111111111,0.8921052631578947
22,MCAR_0.5,naive,48.62,0.9349112426035503,0.5426644736842106,0.15384615384615385,0.8931578947368422
22,MCAR_0.5,pseudo_labels,48.62,0.9349112426035503,0.49894736842105264,0.0,0.8869736842105264
22,MCAR_0.5,iterative_pseudo_labels,48.62,0.9349112426035503,0.49894736842105264,0.0,0.8869736842105264
22,MCAR_0.8,naive,78.68,0.9408284023668639,0.6186842105263157,0.34782608695652173,0.8736842105263158
22,MCAR_0.8,pseudo_labels,78.68,0.9368836291913215,0.5,0.0,0.881578947368421
22,MCAR_0.8,iterative_pseudo_labels,78.68,0.9368836291913215,0.5,0.0,0.881578947368421
22,MAR1,naive,25.59,0.9349112426035503,0.5426644736842106,0.15384615384615385,0.8886184210526316
22,MAR1,pseudo_labels,25.59,0.9408284023668639,0.5458223684210526,0.16666666666666666,0.880328947368421
22,MAR1,iterative_pseudo_labels,25.59,0.9408284023668639,0.5458223684210526,0.16666666666666666,0.880328947368421
22,MAR2,naive,24.54,0.9388560157790927,0.5447697368421053,0.16216216216216217,0.890657894736842
22,MAR2,pseudo_labels,24.54,0.9388560157790927,0.5301973684210526,0.11428571428571428,0.8919736842105264
22,MAR2,iterative_pseudo_labels,24.54,0.9388560157790927,0.5301973684210526,0.11428571428571428,0.8919736842105264
22,MNAR,naive,28.55,0.9408284023668639,0.5458223684210526,0.16666666666666666,0.8869736842105262
22,MNAR,pseudo_labels,28.55,0.9368836291913215,0.5,0.0,0.8832894736842105
22,MNAR,iterative_pseudo_labels,28.55,0.9368836291913215,0.5,0.0,0.8832894736842105
23,None,Oracle,0.0,0.9368836291913215,0.5,0.0,0.8151973684210525
23,MCAR_0.2,naive,19.47,0.9349112426035503,0.49894736842105264,0.0,0.8156578947368421
23,MCAR_0.2,pseudo_labels,19.47,0.9368836291913215,0.5,0.0,0.8204605263157894
23,MCAR_0.2,iterative_pseudo_labels,19.47,0.9368836291913215,0.5,0.0,0.8204605263157894
23,MCAR_0.5,naive,48.36,0.9349112426035503,0.49894736842105264,0.0,0.7776315789473685
23,MCAR_0.5,pseudo_labels,48.36,0.9368836291913215,0.5,0.0,0.8433552631578947
23,MCAR_0.5,iterative_pseudo_labels,48.36,0.9368836291913215,0.5,0.0,0.8433552631578947
23,MCAR_0.8,naive,79.34,0.9368836291913215,0.5,0.0,0.8283552631578948
23,MCAR_0.8,pseudo_labels,79.34,0.9368836291913215,0.5,0.0,0.8316447368421052
23,MCAR_0.8,iterative_pseudo_labels,79.34,0.9368836291913215,0.5,0.0,0.8316447368421052
23,MAR1,naive,24.47,0.9368836291913215,0.5,0.0,0.8226315789473684
23,MAR1,pseudo_labels,24.47,0.9368836291913215,0.5,0.0,0.8290131578947368
23,MAR1,iterative_pseudo_labels,24.47,0.9368836291913215,0.5,0.0,0.8290131578947368
23,MAR2,naive,24.41,0.9349112426035503,0.49894736842105264,0.0,0.8215789473684212
23,MAR2,pseudo_labels,24.41,0.9368836291913215,0.5,0.0,0.8419736842105262
23,MAR2,iterative_pseudo_labels,24.41,0.9368836291913215,0.5,0.0,0.8419736842105262
23,MNAR,naive,26.25,0.9368836291913215,0.5,0.0,0.8041447368421052
23,MNAR,pseudo_labels,26.25,0.9368836291913215,0.5,0.0,0.8461184210526316
23,MNAR,iterative_pseudo_labels,26.25,0.9368836291913215,0.5,0.0,0.8461184210526316
24,None,Oracle,0.0,0.9408284023668639,0.5603947368421053,0.21052631578947367,0.9273684210526316
24,MCAR_0.2,naive,20.07,0.9408284023668639,0.5458223684210526,0.16666666666666666,0.9318421052631579
24,MCAR_0.2,pseudo_labels,20.07,0.9408284023668639,0.53125,0.11764705882352941,0.9298684210526316
24,MCAR_0.2,iterative_pseudo_labels,20.07,0.9408284023668639,0.53125,0.11764705882352941,0.9298684210526316
24,MCAR_0.5,naive,48.95,0.9368836291913215,0.5582894736842106,0.2,0.8879605263157895
