Seed,Scheme,Approach,k_best,base_estimator,Missing_Percent,Accuracy,Balanced_Acc,F1,ROC_AUC
3,MCAR_0.2,naive,,,10.67,0.7692307692307693,0.7189542483660131,0.8333333333333334,0.8692810457516339
3,MCAR_0.2,self_training,1.0,SVC,10.67,0.8076923076923077,0.7483660130718954,0.8648648648648649,0.8496732026143791
3,MCAR_0.2,self_training,1.0,LogisticRegression,10.67,0.8076923076923077,0.7745098039215685,0.8571428571428571,0.8169934640522876
3,MCAR_0.2,self_training,1.0,RandomForestClassifier,10.67,0.8076923076923077,0.7483660130718954,0.8648648648648649,0.8496732026143791
3,MCAR_0.2,self_training,1.0,XGBClassifier,10.67,0.8076923076923077,0.7483660130718954,0.8648648648648649,0.8496732026143791
3,MCAR_0.2,label_propagation,,,10.67,0.7692307692307693,0.7450980392156863,0.8235294117647058,0.8823529411764707
3,MCAR_0.5,naive,,,58.67,0.8076923076923077,0.826797385620915,0.8387096774193549,0.9281045751633987
3,MCAR_0.5,self_training,1.0,SVC,58.67,0.7692307692307693,0.7973856209150327,0.8,0.9150326797385621
3,MCAR_0.5,self_training,1.0,LogisticRegression,58.67,0.8846153846153846,0.8856209150326797,0.9090909090909091,0.9215686274509804
3,MCAR_0.5,self_training,1.0,RandomForestClassifier,58.67,0.8076923076923077,0.7745098039215685,0.8571428571428571,0.934640522875817
3,MCAR_0.5,self_training,1.0,XGBClassifier,58.67,0.8846153846153846,0.8856209150326797,0.9090909090909091,0.8888888888888888
3,MCAR_0.5,label_propagation,,,58.67,0.7307692307692307,0.7941176470588236,0.7407407407407407,0.8888888888888888
3,MCAR_0.8,naive,,,77.33,0.46153846153846156,0.35294117647058826,0.631578947368421,0.45098039215686275
3,MCAR_0.8,self_training,1.0,SVC,77.33,0.6923076923076923,0.738562091503268,0.7142857142857143,0.8366013071895424
3,MCAR_0.8,self_training,1.0,LogisticRegression,77.33,0.8461538461538461,0.8823529411764706,0.8666666666666667,0.9738562091503269
3,MCAR_0.8,self_training,1.0,RandomForestClassifier,77.33,0.6538461538461539,0.5,0.7906976744186046,0.5
3,MCAR_0.8,self_training,1.0,XGBClassifier,77.33,0.4230769230769231,0.34967320261437906,0.5714285714285714,0.5032679738562092
3,MCAR_0.8,label_propagation,,,77.33,0.6923076923076923,0.7647058823529411,0.6923076923076923,0.8039215686274509
3,MAR1,naive,,,46.67,0.6538461538461539,0.6045751633986928,0.7428571428571429,0.7843137254901961
3,MAR1,self_training,1.0,SVC,46.67,0.6923076923076923,0.6862745098039216,0.75,0.7973856209150327
3,MAR1,self_training,1.0,LogisticRegression,46.67,0.7692307692307693,0.7189542483660131,0.8333333333333334,0.8562091503267973
3,MAR1,self_training,1.0,RandomForestClassifier,46.67,0.6153846153846154,0.5751633986928104,0.7058823529411765,0.7320261437908497
3,MAR1,self_training,1.0,XGBClassifier,46.67,0.7692307692307693,0.7450980392156863,0.8235294117647058,0.7973856209150327
3,MAR1,label_propagation,,,46.67,0.6538461538461539,0.6045751633986928,0.7428571428571429,0.6797385620915033
3,MAR2,naive,,,48.0,0.6923076923076923,0.6601307189542484,0.7647058823529411,0.6601307189542484
3,MAR2,self_training,1.0,SVC,48.0,0.6923076923076923,0.6078431372549019,0.7894736842105263,0.6993464052287581
3,MAR2,self_training,1.0,LogisticRegression,48.0,0.6923076923076923,0.6862745098039216,0.75,0.7058823529411765
3,MAR2,self_training,1.0,RandomForestClassifier,48.0,0.6923076923076923,0.5816993464052287,0.8,0.888888888888889
3,MAR2,self_training,1.0,XGBClassifier,48.0,0.7307692307692307,0.6633986928104575,0.8108108108108109,0.7973856209150326
3,MAR2,label_propagation,,,48.0,0.6923076923076923,0.6339869281045751,0.7777777777777778,0.7647058823529411
3,MNAR,naive,,,48.0,0.7692307692307693,0.7973856209150327,0.8,0.7843137254901962
3,MNAR,self_training,1.0,SVC,48.0,0.6538461538461539,0.6830065359477124,0.6896551724137931,0.869281045751634
3,MNAR,self_training,1.0,LogisticRegression,48.0,0.6538461538461539,0.6830065359477124,0.6896551724137931,0.8366013071895425
3,MNAR,self_training,1.0,RandomForestClassifier,48.0,0.7692307692307693,0.8235294117647058,0.7857142857142857,0.8104575163398693
3,MNAR,self_training,1.0,XGBClassifier,48.0,0.7307692307692307,0.7941176470588236,0.7407407407407407,0.8235294117647058
3,MNAR,label_propagation,,,48.0,0.6923076923076923,0.7647058823529411,0.6923076923076923,0.8627450980392156
4,None,Oracle,,,0.0,0.8461538461538461,0.8562091503267973,0.875,0.8431372549019607
4,MCAR_0.2,naive,,,20.0,0.8461538461538461,0.8562091503267973,0.875,0.8235294117647058
4,MCAR_0.2,self_training,1.0,SVC,20.0,0.8076923076923077,0.826797385620915,0.8387096774193549,0.869281045751634
4,MCAR_0.2,self_training,1.0,LogisticRegression,20.0,0.8461538461538461,0.8562091503267973,0.875,0.8431372549019607
4,MCAR_0.2,self_training,1.0,RandomForestClassifier,20.0,0.8461538461538461,0.8562091503267973,0.875,0.8300653594771241
4,MCAR_0.2,self_training,1.0,XGBClassifier,20.0,0.8076923076923077,0.826797385620915,0.8387096774193549,0.8496732026143791
4,MCAR_0.2,label_propagation,,,20.0,0.8076923076923077,0.826797385620915,0.8387096774193549,0.8104575163398693
4,MCAR_0.5,naive,,,57.33,0.5769230769230769,0.5718954248366013,0.6451612903225806,0.5816993464052288
4,MCAR_0.5,self_training,1.0,SVC,57.33,0.6923076923076923,0.738562091503268,0.7142857142857143,0.8366013071895424
4,MCAR_0.5,self_training,1.0,LogisticRegression,57.33,0.7307692307692307,0.7418300653594772,0.7741935483870968,0.8888888888888888
4,MCAR_0.5,self_training,1.0,RandomForestClassifier,57.33,0.7307692307692307,0.7418300653594772,0.7741935483870968,0.8366013071895424
4,MCAR_0.5,self_training,1.0,XGBClassifier,57.33,0.7307692307692307,0.7679738562091503,0.7586206896551724,0.8300653594771242
4,MCAR_0.5,label_propagation,,,57.33,0.7307692307692307,0.7941176470588236,0.7407407407407407,0.9019607843137254
4,MCAR_0.8,naive,,,81.33,0.8461538461538461,0.803921568627451,0.8888888888888888,0.8496732026143791
4,MCAR_0.8,self_training,1.0,SVC,81.33,0.6538461538461539,0.5,0.7906976744186046,0.5098039215686274
4,MCAR_0.8,self_training,1.0,LogisticRegression,81.33,0.8076923076923077,0.826797385620915,0.8387096774193549,0.8366013071895424
4,MCAR_0.8,self_training,1.0,RandomForestClassifier,81.33,0.6538461538461539,0.5261437908496732,0.7804878048780488,0.8104575163398693
4,MCAR_0.8,self_training,1.0,XGBClassifier,81.33,0.46153846153846156,0.43137254901960786,0.5625,0.522875816993464
4,MCAR_0.8,label_propagation,,,81.33,0.6153846153846154,0.6274509803921569,0.6666666666666666,0.5620915032679739
4,MAR1,naive,,,52.0,0.8846153846153846,0.9117647058823529,0.9032258064516129,0.9150326797385621
4,MAR1,self_training,1.0,SVC,52.0,0.8461538461538461,0.8300653594771241,0.8823529411764706,0.934640522875817
4,MAR1,self_training,1.0,LogisticRegression,52.0,0.8846153846153846,0.9117647058823529,0.9032258064516129,0.934640522875817
4,MAR1,self_training,1.0,RandomForestClassifier,52.0,0.7307692307692307,0.7156862745098038,0.7878787878787878,0.8888888888888888
4,MAR1,self_training,1.0,XGBClassifier,52.0,0.8846153846153846,0.8594771241830066,0.9142857142857143,0.9738562091503268
4,MAR1,label_propagation,,,52.0,0.8076923076923077,0.826797385620915,0.8387096774193549,0.954248366013072
4,MAR2,naive,,,40.0,0.7692307692307693,0.7712418300653594,0.8125,0.7581699346405228
4,MAR2,self_training,1.0,SVC,40.0,0.7692307692307693,0.7712418300653594,0.8125,0.8104575163398692
4,MAR2,self_training,1.0,LogisticRegression,40.0,0.7692307692307693,0.7712418300653594,0.8125,0.7777777777777778
