Seed,Scheme,Approach,Missing_Percent,Accuracy,Balanced_Acc,F1,ROC_AUC
5,MNAR,iterative_pseudo_labels,14.44,0.6593406593406593,0.6547619047619048,0.6172839506172839,0.7419825072886298
6,None,Oracle,0.0,0.6703296703296703,0.6768707482993197,0.6808510638297872,0.7269193391642371
6,MCAR_0.2,naive,18.15,0.6923076923076923,0.6938775510204082,0.6818181818181818,0.7779397473275026
6,MCAR_0.2,pseudo_labels,18.15,0.6813186813186813,0.6802721088435374,0.6588235294117647,0.7774538386783284
6,MCAR_0.2,iterative_pseudo_labels,18.15,0.6813186813186813,0.6802721088435374,0.6588235294117647,0.7774538386783284
6,MCAR_0.5,naive,48.52,0.6923076923076923,0.6904761904761905,0.6666666666666666,0.7419825072886298
6,MCAR_0.5,pseudo_labels,48.52,0.7142857142857143,0.7142857142857143,0.6976744186046512,0.7594752186588922
6,MCAR_0.5,iterative_pseudo_labels,48.52,0.7032967032967034,0.7006802721088435,0.6746987951807228,0.7555879494655005
6,MCAR_0.8,naive,78.52,0.7472527472527473,0.7414965986394557,0.7088607594936709,0.7784256559766763
6,MCAR_0.8,pseudo_labels,78.52,0.7142857142857143,0.7023809523809523,0.6388888888888888,0.7482993197278912
6,MCAR_0.8,iterative_pseudo_labels,78.52,0.7472527472527473,0.7414965986394557,0.7088607594936709,0.7453838678328474
6,MAR1,naive,36.67,0.6373626373626373,0.6445578231292517,0.6526315789473685,0.7230320699708455
6,MAR1,pseudo_labels,36.67,0.6373626373626373,0.641156462585034,0.6373626373626373,0.7512147716229349
6,MAR1,iterative_pseudo_labels,36.67,0.6483516483516484,0.653061224489796,0.6521739130434783,0.7580174927113702
6,MAR2,naive,23.33,0.6153846153846154,0.6190476190476191,0.6153846153846154,0.7050534499514092
6,MAR2,pseudo_labels,23.33,0.6593406593406593,0.6632653061224489,0.6593406593406593,0.7419825072886298
6,MAR2,iterative_pseudo_labels,23.33,0.6593406593406593,0.6632653061224489,0.6593406593406593,0.7419825072886298
6,MNAR,naive,15.93,0.6263736263736264,0.6343537414965987,0.6458333333333334,0.7687074829931972
6,MNAR,pseudo_labels,15.93,0.6483516483516484,0.6564625850340136,0.6666666666666666,0.7458697764820215
6,MNAR,iterative_pseudo_labels,15.93,0.6483516483516484,0.6564625850340136,0.6666666666666666,0.7458697764820215
7,None,Oracle,0.0,0.7362637362637363,0.7363945578231292,0.7209302325581395,0.7784256559766763
7,MCAR_0.2,naive,15.19,0.7582417582417582,0.7551020408163265,0.7317073170731707,0.7910592808551992
7,MCAR_0.2,pseudo_labels,15.19,0.8131868131868132,0.8078231292517006,0.7848101265822784,0.8241010689990282
7,MCAR_0.2,iterative_pseudo_labels,15.19,0.8131868131868132,0.8078231292517006,0.7848101265822784,0.8241010689990282
7,MCAR_0.5,naive,51.48,0.7472527472527473,0.7414965986394557,0.7088607594936709,0.7896015549076774
7,MCAR_0.5,pseudo_labels,51.48,0.7142857142857143,0.7091836734693877,0.675,0.7798833819241984
7,MCAR_0.5,iterative_pseudo_labels,51.48,0.6703296703296703,0.6666666666666667,0.6341463414634146,0.7201166180758017
7,MCAR_0.8,naive,82.22,0.5714285714285714,0.5629251700680272,0.4935064935064935,0.5621963070942663
7,MCAR_0.8,pseudo_labels,82.22,0.5824175824175825,0.5714285714285714,0.4864864864864865,0.5247813411078718
7,MCAR_0.8,iterative_pseudo_labels,82.22,0.5934065934065934,0.5816326530612245,0.4931506849315068,0.575801749271137
7,MAR1,naive,30.74,0.7362637362637363,0.7312925170068028,0.7,0.770651117589893
7,MAR1,pseudo_labels,30.74,0.7692307692307693,0.7636054421768708,0.7341772151898734,0.7978620019436345
7,MAR1,iterative_pseudo_labels,30.74,0.7692307692307693,0.7636054421768708,0.7341772151898734,0.7978620019436345
7,MAR2,naive,26.67,0.7362637362637363,0.7278911564625851,0.6842105263157895,0.7920310981535472
7,MAR2,pseudo_labels,26.67,0.7472527472527473,0.7448979591836735,0.7228915662650602,0.7930029154518949
7,MAR2,iterative_pseudo_labels,26.67,0.7472527472527473,0.7448979591836735,0.7228915662650602,0.7930029154518949
7,MNAR,naive,14.44,0.7472527472527473,0.7482993197278911,0.735632183908046,0.8260447035957239
7,MNAR,pseudo_labels,14.44,0.7032967032967034,0.7057823129251701,0.6966292134831461,0.7594752186588922
7,MNAR,iterative_pseudo_labels,14.44,0.7032967032967034,0.7057823129251701,0.6966292134831461,0.7594752186588922
8,None,Oracle,0.0,0.7692307692307693,0.7670068027210885,0.7469879518072289,0.8775510204081632
8,MCAR_0.2,naive,18.52,0.7912087912087912,0.7891156462585034,0.7710843373493976,0.8697764820213799
8,MCAR_0.2,pseudo_labels,18.52,0.7692307692307693,0.7636054421768708,0.7341772151898734,0.8474246841593781
8,MCAR_0.2,iterative_pseudo_labels,18.52,0.7912087912087912,0.7908163265306123,0.7764705882352941,0.8595724003887268
8,MCAR_0.5,naive,44.44,0.7692307692307693,0.7670068027210885,0.7469879518072289,0.8547133138969873
8,MCAR_0.5,pseudo_labels,44.44,0.7912087912087912,0.7908163265306123,0.7764705882352941,0.8892128279883382
8,MCAR_0.5,iterative_pseudo_labels,44.44,0.7692307692307693,0.7687074829931972,0.7529411764705882,0.8756073858114675
8,MCAR_0.8,naive,83.7,0.6813186813186813,0.6649659863945578,0.5671641791044776,0.7915451895043731
8,MCAR_0.8,pseudo_labels,83.7,0.6593406593406593,0.6394557823129252,0.5079365079365079,0.673469387755102
8,MCAR_0.8,iterative_pseudo_labels,83.7,0.6043956043956044,0.5782312925170068,0.35714285714285715,0.6744412050534501
8,MAR1,naive,37.04,0.7582417582417582,0.7602040816326531,0.75,0.8430515063168125
8,MAR1,pseudo_labels,37.04,0.7802197802197802,0.7789115646258503,0.7619047619047619,0.8445092322643343
8,MAR1,iterative_pseudo_labels,37.04,0.7802197802197802,0.782312925170068,0.7727272727272727,0.84645286686103
8,MAR2,naive,21.85,0.7472527472527473,0.7448979591836735,0.7228915662650602,0.793488824101069
8,MAR2,pseudo_labels,21.85,0.6813186813186813,0.673469387755102,0.6233766233766234,0.7439261418853256
8,MAR2,iterative_pseudo_labels,21.85,0.6923076923076923,0.6836734693877551,0.631578947368421,0.7278911564625851
8,MNAR,naive,12.96,0.7912087912087912,0.7908163265306123,0.7764705882352941,0.8765792031098154
8,MNAR,pseudo_labels,12.96,0.7802197802197802,0.7789115646258503,0.7619047619047619,0.9003887269193391
8,MNAR,iterative_pseudo_labels,12.96,0.7802197802197802,0.7789115646258503,0.7619047619047619,0.9003887269193391
9,None,Oracle,0.0,0.7252747252747253,0.7142857142857142,0.6575342465753424,0.7448979591836734
9,MCAR_0.2,naive,21.11,0.7032967032967034,0.6870748299319728,0.5970149253731343,0.7735665694849369
9,MCAR_0.2,pseudo_labels,21.11,0.6813186813186813,0.6683673469387755,0.5915492957746479,0.7706511175898931
9,MCAR_0.2,iterative_pseudo_labels,21.11,0.6813186813186813,0.6683673469387755,0.5915492957746479,0.7706511175898931
9,MCAR_0.5,naive,49.63,0.6813186813186813,0.6819727891156462,0.6666666666666666,0.7366375121477162
9,MCAR_0.5,pseudo_labels,49.63,0.6813186813186813,0.6666666666666666,0.5797101449275363,0.7429543245869776
9,MCAR_0.5,iterative_pseudo_labels,49.63,0.7142857142857143,0.7074829931972789,0.6666666666666666,0.7230320699708455
9,MCAR_0.8,naive,82.22,0.6043956043956044,0.5918367346938775,0.5,0.6311953352769679
9,MCAR_0.8,pseudo_labels,82.22,0.6373626373626373,0.608843537414966,0.37735849056603776,0.5928085519922255
9,MCAR_0.8,iterative_pseudo_labels,82.22,0.6373626373626373,0.6139455782312926,0.4406779661016949,0.577259475218659
9,MAR1,naive,39.26,0.5934065934065934,0.5816326530612245,0.4931506849315068,0.6137026239067055
9,MAR1,pseudo_labels,39.26,0.5934065934065934,0.5816326530612245,0.4931506849315068,0.6243926141885325
9,MAR1,iterative_pseudo_labels,39.26,0.6813186813186813,0.673469387755102,0.6233766233766234,0.6608357628765792
9,MAR2,naive,18.15,0.7142857142857143,0.7006802721088435,0.6285714285714286,0.761904761904762
9,MAR2,pseudo_labels,18.15,0.6703296703296703,0.6581632653061225,0.5833333333333334,0.7206025267249757
9,MAR2,iterative_pseudo_labels,18.15,0.6703296703296703,0.6581632653061225,0.5833333333333334,0.7206025267249757
9,MNAR,naive,14.07,0.7032967032967034,0.7006802721088435,0.6746987951807228,0.705539358600583
9,MNAR,pseudo_labels,14.07,0.6923076923076923,0.6836734693877551,0.631578947368421,0.7128279883381924
9,MNAR,iterative_pseudo_labels,14.07,0.6923076923076923,0.6836734693877551,0.631578947368421,0.7128279883381924
10,None,Oracle,0.0,0.7802197802197802,0.7704081632653061,0.7297297297297297,0.8343051506316812
10,MCAR_0.2,naive,17.41,0.7142857142857143,0.7108843537414966,0.6829268292682927,0.7570456754130225
10,MCAR_0.2,pseudo_labels,17.41,0.7472527472527473,0.7363945578231292,0.684931506849315,0.7886297376093295
10,MCAR_0.2,iterative_pseudo_labels,17.41,0.7472527472527473,0.7363945578231292,0.684931506849315,0.7886297376093295
10,MCAR_0.5,naive,51.11,0.7692307692307693,0.7602040816326531,0.72,0.8411078717201167
10,MCAR_0.5,pseudo_labels,51.11,0.7582417582417582,0.7482993197278911,0.7027027027027027,0.8284742468415938
10,MCAR_0.5,iterative_pseudo_labels,51.11,0.7912087912087912,0.782312925170068,0.7466666666666667,0.8226433430515063
10,MCAR_0.8,naive,80.37,0.6593406593406593,0.6615646258503401,0.651685393258427,0.7103984450923226
10,MCAR_0.8,pseudo_labels,80.37,0.6483516483516484,0.6445578231292517,0.6097560975609756,0.6977648202137998
10,MCAR_0.8,iterative_pseudo_labels,80.37,0.7032967032967034,0.7006802721088435,0.6746987951807228,0.7424684159378037
10,MAR1,naive,34.07,0.7252747252747253,0.7142857142857142,0.6575342465753424,0.7512147716229349
10,MAR1,pseudo_labels,34.07,0.7472527472527473,0.7329931972789117,0.6666666666666666,0.7599611273080663
10,MAR1,iterative_pseudo_labels,34.07,0.7582417582417582,0.7465986394557823,0.6944444444444444,0.7580174927113703
10,MAR2,naive,24.44,0.7362637362637363,0.7261904761904762,0.6756756756756757,0.838192419825073
10,MAR2,pseudo_labels,24.44,0.7582417582417582,0.7482993197278911,0.7027027027027027,0.8469387755102041
10,MAR2,iterative_pseudo_labels,24.44,0.7472527472527473,0.7380952380952381,0.6933333333333334,0.8386783284742468
10,MNAR,naive,14.07,0.8131868131868132,0.804421768707483,0.7733333333333333,0.8600583090379008
10,MNAR,pseudo_labels,14.07,0.7802197802197802,0.7721088435374149,0.7368421052631579,0.8265306122448979
10,MNAR,iterative_pseudo_labels,14.07,0.7802197802197802,0.7721088435374149,0.7368421052631579,0.8265306122448979
11,None,Oracle,0.0,0.7582417582417582,0.75,0.7105263157894737,0.8600583090379008
11,MCAR_0.2,naive,20.37,0.7472527472527473,0.7414965986394557,0.7088607594936709,0.8216715257531585
11,MCAR_0.2,pseudo_labels,20.37,0.7362637362637363,0.7312925170068028,0.7,0.814868804664723
11,MCAR_0.2,iterative_pseudo_labels,20.37,0.7252747252747253,0.717687074829932,0.6753246753246753,0.8119533527696793
11,MCAR_0.5,naive,54.44,0.7362637362637363,0.7261904761904762,0.6756756756756757,0.8411078717201166
11,MCAR_0.5,pseudo_labels,54.44,0.7472527472527473,0.7380952380952381,0.6933333333333334,0.8061224489795918
11,MCAR_0.5,iterative_pseudo_labels,54.44,0.7362637362637363,0.7210884353741497,0.6470588235294118,0.8411078717201166
11,MCAR_0.8,naive,82.96,0.6923076923076923,0.6887755102040817,0.6585365853658537,0.7414965986394557
11,MCAR_0.8,pseudo_labels,82.96,0.6813186813186813,0.6751700680272108,0.6329113924050633,0.7332361516034985
11,MCAR_0.8,iterative_pseudo_labels,82.96,0.6483516483516484,0.6309523809523809,0.5151515151515151,0.7293488824101068
11,MAR1,naive,39.26,0.7692307692307693,0.7602040816326531,0.72,0.8527696793002915
11,MAR1,pseudo_labels,39.26,0.7692307692307693,0.7602040816326531,0.72,0.856656948493683
11,MAR1,iterative_pseudo_labels,39.26,0.7692307692307693,0.7619047619047619,0.7272727272727273,0.8488824101068999
11,MAR2,naive,30.37,0.7252747252747253,0.7210884353741496,0.691358024691358,0.8182701652089408
11,MAR2,pseudo_labels,30.37,0.7582417582417582,0.7534013605442177,0.725,0.8362487852283771
11,MAR2,iterative_pseudo_labels,30.37,0.7582417582417582,0.7534013605442177,0.725,0.8362487852283771
11,MNAR,naive,20.74,0.7362637362637363,0.7346938775510203,0.7142857142857143,0.826530612244898
11,MNAR,pseudo_labels,20.74,0.7802197802197802,0.7789115646258503,0.7619047619047619,0.836248785228377
