Seed,Scheme,Approach,k_best,base_estimator,Missing_Percent,Accuracy,Balanced_Acc,F1,ROC_AUC
0,MAR2,self_training,1.0,XGBClassifier,49.04,0.8285714285714286,0.8300653594771241,0.8235294117647058,0.8496732026143791
0,MAR2,label_propagation,,,49.04,0.6571428571428571,0.6633986928104575,0.5714285714285714,0.7908496732026143
0,MNAR,naive,,,48.08,0.6857142857142857,0.6928104575163399,0.5925925925925926,0.8398692810457515
0,MNAR,self_training,1.0,SVC,48.08,0.8,0.8022875816993464,0.7878787878787878,0.8529411764705882
0,MNAR,self_training,1.0,LogisticRegression,48.08,0.7714285714285715,0.7745098039215685,0.75,0.8562091503267973
0,MNAR,self_training,1.0,RandomForestClassifier,48.08,0.6857142857142857,0.6895424836601307,0.6451612903225806,0.7973856209150327
0,MNAR,self_training,1.0,XGBClassifier,48.08,0.7428571428571429,0.7483660130718954,0.6896551724137931,0.8006535947712417
0,MNAR,label_propagation,,,48.08,0.6,0.6094771241830066,0.4166666666666667,0.6013071895424837
1,None,Oracle,,,0.0,0.7714285714285715,0.772875816993464,0.7647058823529411,0.8300653594771241
1,MCAR_0.2,naive,,,19.23,0.6571428571428571,0.6584967320261439,0.6470588235294118,0.8169934640522876
1,MCAR_0.2,self_training,1.0,SVC,19.23,0.7714285714285715,0.772875816993464,0.7647058823529411,0.8594771241830065
1,MCAR_0.2,self_training,1.0,LogisticRegression,19.23,0.7714285714285715,0.772875816993464,0.7647058823529411,0.8300653594771241
1,MCAR_0.2,self_training,1.0,RandomForestClassifier,19.23,0.6857142857142857,0.6862745098039216,0.6857142857142857,0.8071895424836601
1,MCAR_0.2,self_training,1.0,XGBClassifier,19.23,0.7142857142857143,0.7156862745098038,0.7058823529411765,0.826797385620915
1,MCAR_0.2,label_propagation,,,19.23,0.7714285714285715,0.7745098039215685,0.75,0.8333333333333334
1,MCAR_0.5,naive,,,50.0,0.7428571428571429,0.7483660130718954,0.6896551724137931,0.8790849673202614
1,MCAR_0.5,self_training,1.0,SVC,50.0,0.6857142857142857,0.6879084967320261,0.6666666666666666,0.8562091503267975
1,MCAR_0.5,self_training,1.0,LogisticRegression,50.0,0.6857142857142857,0.6879084967320261,0.6666666666666666,0.8104575163398693
1,MCAR_0.5,self_training,1.0,RandomForestClassifier,50.0,0.8,0.803921568627451,0.7741935483870968,0.8758169934640523
1,MCAR_0.5,self_training,1.0,XGBClassifier,50.0,0.8,0.8022875816993464,0.7878787878787878,0.8071895424836601
1,MCAR_0.5,label_propagation,,,50.0,0.6571428571428571,0.6666666666666666,0.5,0.823529411764706
1,MCAR_0.8,naive,,,75.0,0.7142857142857143,0.7173202614379085,0.6875,0.8169934640522876
1,MCAR_0.8,self_training,1.0,SVC,75.0,0.8285714285714286,0.8284313725490196,0.8333333333333334,0.8627450980392156
1,MCAR_0.8,self_training,1.0,LogisticRegression,75.0,0.8,0.7990196078431373,0.8108108108108109,0.892156862745098
1,MCAR_0.8,self_training,1.0,RandomForestClassifier,75.0,0.7714285714285715,0.772875816993464,0.7647058823529411,0.8366013071895424
1,MCAR_0.8,self_training,1.0,XGBClassifier,75.0,0.8,0.803921568627451,0.7741935483870968,0.9019607843137255
1,MCAR_0.8,label_propagation,,,75.0,0.6,0.6078431372549019,0.46153846153846156,0.738562091503268
1,MAR1,naive,,,51.92,0.7714285714285715,0.7745098039215685,0.75,0.8594771241830065
1,MAR1,self_training,1.0,SVC,51.92,0.6857142857142857,0.684640522875817,0.7027027027027027,0.8464052287581699
1,MAR1,self_training,1.0,LogisticRegression,51.92,0.7714285714285715,0.7777777777777778,0.7142857142857143,0.8529411764705883
1,MAR1,self_training,1.0,RandomForestClassifier,51.92,0.8,0.8006535947712419,0.8,0.8464052287581699
1,MAR1,self_training,1.0,XGBClassifier,51.92,0.7428571428571429,0.7434640522875817,0.7428571428571429,0.869281045751634
