Seed,Scheme,Approach,k_best,base_estimator,Missing_Percent,Accuracy,Balanced_Acc,F1,ROC_AUC
4,MAR2,label_propagation,,,43.33,0.5238095238095238,0.5454545454545454,0.16666666666666666,0.8363636363636364
4,MNAR,naive,,,50.0,0.6666666666666666,0.6590909090909092,0.72,0.7
4,MNAR,self_training,1.0,SVC,50.0,0.7142857142857143,0.7090909090909091,0.75,0.6818181818181818
4,MNAR,self_training,1.0,LogisticRegression,50.0,0.8571428571428571,0.8590909090909091,0.8571428571428571,0.9090909090909092
4,MNAR,self_training,1.0,RandomForestClassifier,50.0,0.6190476190476191,0.6136363636363636,0.6666666666666666,0.6363636363636364
4,MNAR,self_training,1.0,XGBClassifier,50.0,0.7142857142857143,0.7090909090909091,0.75,0.7636363636363637
4,MNAR,label_propagation,,,50.0,0.42857142857142855,0.4409090909090909,0.25,0.5
5,None,Oracle,,,0.0,0.8571428571428571,0.8590909090909091,0.8571428571428571,0.9090909090909091
5,MCAR_0.2,naive,,,26.67,0.9047619047619048,0.9045454545454545,0.9090909090909091,0.9090909090909091
5,MCAR_0.2,self_training,1.0,SVC,26.67,0.6666666666666666,0.6818181818181819,0.5333333333333333,0.8727272727272727
5,MCAR_0.2,self_training,1.0,LogisticRegression,26.67,0.7619047619047619,0.7636363636363637,0.7619047619047619,0.8272727272727273
5,MCAR_0.2,self_training,1.0,RandomForestClassifier,26.67,0.8095238095238095,0.8090909090909091,0.8181818181818182,0.9
5,MCAR_0.2,self_training,1.0,XGBClassifier,26.67,0.8571428571428571,0.8590909090909091,0.8571428571428571,0.9090909090909091
5,MCAR_0.2,label_propagation,,,26.67,0.6666666666666666,0.6772727272727272,0.5882352941176471,0.8272727272727273
5,MCAR_0.5,naive,,,55.0,0.6666666666666666,0.6772727272727272,0.5882352941176471,0.7272727272727273
5,MCAR_0.5,self_training,1.0,SVC,55.0,0.5238095238095238,0.5227272727272727,0.5454545454545454,0.5636363636363637
5,MCAR_0.5,self_training,1.0,LogisticRegression,55.0,0.5238095238095238,0.5181818181818182,0.5833333333333334,0.6818181818181819
5,MCAR_0.5,self_training,1.0,RandomForestClassifier,55.0,0.8095238095238095,0.8090909090909091,0.8181818181818182,0.9
5,MCAR_0.5,self_training,1.0,XGBClassifier,55.0,0.6666666666666666,0.6772727272727272,0.5882352941176471,0.7636363636363637
5,MCAR_0.5,label_propagation,,,55.0,0.5238095238095238,0.5454545454545454,0.16666666666666666,0.7454545454545455
5,MCAR_0.8,naive,,,78.33,0.5714285714285714,0.55,0.7096774193548387,0.4363636363636363
5,MCAR_0.8,self_training,1.0,SVC,78.33,0.5238095238095238,0.5,0.6875,0.5272727272727273
5,MCAR_0.8,self_training,1.0,LogisticRegression,78.33,0.47619047619047616,0.4727272727272727,0.5217391304347826,0.6
5,MCAR_0.8,self_training,1.0,RandomForestClassifier,78.33,0.5714285714285714,0.55,0.7096774193548387,0.5454545454545454
5,MCAR_0.8,self_training,1.0,XGBClassifier,78.33,0.6190476190476191,0.6045454545454545,0.7142857142857143,0.4818181818181818
5,MCAR_0.8,label_propagation,,,78.33,0.5238095238095238,0.5454545454545454,0.16666666666666666,0.8090909090909092
5,MAR1,naive,,,48.33,0.7619047619047619,0.7681818181818182,0.7368421052631579,0.9181818181818182
5,MAR1,self_training,1.0,SVC,48.33,0.5238095238095238,0.5318181818181817,0.4444444444444444,0.6272727272727273
5,MAR1,self_training,1.0,LogisticRegression,48.33,0.8095238095238095,0.8090909090909091,0.8181818181818182,0.8636363636363636
5,MAR1,self_training,1.0,RandomForestClassifier,48.33,0.8571428571428571,0.8590909090909091,0.8571428571428571,0.9090909090909091
5,MAR1,self_training,1.0,XGBClassifier,48.33,0.6190476190476191,0.6272727272727273,0.5555555555555556,0.7363636363636363
5,MAR1,label_propagation,,,48.33,0.5714285714285714,0.5909090909090909,0.3076923076923077,0.6636363636363636
5,MAR2,naive,,,55.0,0.7142857142857143,0.7136363636363636,0.7272727272727273,0.6818181818181819
5,MAR2,self_training,1.0,SVC,55.0,0.5714285714285714,0.5909090909090909,0.3076923076923077,0.6090909090909091
5,MAR2,self_training,1.0,LogisticRegression,55.0,0.6666666666666666,0.6681818181818182,0.6666666666666666,0.8272727272727273
5,MAR2,self_training,1.0,RandomForestClassifier,55.0,0.8571428571428571,0.8636363636363636,0.8421052631578947,0.8636363636363636
5,MAR2,self_training,1.0,XGBClassifier,55.0,0.8095238095238095,0.8090909090909091,0.8181818181818182,0.7909090909090908
